roomid,lat,long
0101009;0.0007929;0.0012849
0101009;0.0007929;0.0013118
0101009;0.0007552;0.0013118
0101009;0.0007552;0.0012849
0101009;0.0007929;0.0012849
0101018;0.0007244;0.0012318
0101018;0.0007244;0.0012569
0101018;0.0006897;0.0012569
0101018;0.0006898;0.0012363
0101018;0.0006898;0.0012318
0101018;0.0007244;0.0012318
0101101;0.0006928;0.001313
0101101;0.0006928;0.0013605
0101101;0.0006928;0.0013647
0101101;0.0006928;0.0013873
0101101;0.0006637;0.0013874
0101101;0.0006635;0.0013131
0101101;0.0006897;0.001313
0101101;0.0006928;0.001313
0102021;0.0006912;0.0013115
0102021;0.0006911;0.0013645
0102021;0.0006911;0.0013872
0102021;0.0006621;0.0013872
0102021;0.000662;0.0013115
0102021;0.0006654;0.0013115
0102021;0.000688;0.0013115
0102021;0.0006912;0.0013115
0102034;0.0004175;0.0013859
0102034;0.0004175;0.0014613
0102034;0.000298;0.001461
0102034;0.0003067;0.0013859
0102034;0.0004175;0.0013859
0001001;0.0283353;0.0071208
0001001;0.0284879;0.0079667
0001001;0.0280073;0.008051
0001001;0.0278657;0.007362
0001001;0.0283353;0.0071208
0001002;0.0289367;0.0065484
0001002;0.0291024;0.0074164
0001002;0.028784;0.0074728
0001002;0.0285877;0.006687
0001002;0.0289367;0.0065484
