id,vertexstartId,vertexendId
0001;01010200;01010201
0002;01010201;01010202
0003;01010201;01010205
0004;01010201;01010245
0005;01010205;01010206
0006;01010202;01010203
0007;01010202;01010204
0008;01010204;01010208
0009;01010208;01010209
0010;01010209;01010210
0011;01010210;01010211
0012;01010211;01010212
0013;01010212;01010213
0014;01010213;01010214
0015;01010214;01010215
0016;01010215;01010216
0017;01010216;01010217
0018;01010217;01010218
0019;01010217;01010219
0020;01010216;01010220
0021;01010220;01010221
0022;01010220;01010222
0023;01010222;01010223
0024;01010223;01010224
0025;01010224;01010225
0026;01010225;01010226
0027;01010225;01010227
0028;01010227;01010228
0029;01010228;01010229
0030;01010228;01010230
0031;01010230;01010231
0032;01010231;01010232
0033;01010232;01010233
0034;01010232;01010234
0035;01010234;01010235
0036;01010235;01010236
0037;01010236;01010237
0038;01010237;01010238
0039;01010238;01010239
0040;01010239;01010240
0041;01010240;01010241
0042;01010241;01010242
0043;01010242;01010243
0044;01010243;01010244
0045;01010009;01010213
0046;01010018;01010211
0047;01010221;01020102
0048;01020101;01020102
0049;01020101;01020109
0050;01010245;01010201
0051;01010245;00010001
0052;00010001;00010002
